  0.34600000E+01  0.15340351E-05  0.36086313E-04
  0.34700000E+01  0.18206465E-05  0.36211554E-04
  0.34800000E+01  0.22922292E-05  0.36363424E-04
  0.34900000E+01  0.28914664E-05  0.36536179E-04
  0.35000000E+01  0.35519974E-05  0.36722953E-04
  0.35100000E+01  0.42104783E-05  0.36918222E-04
  0.35200000E+01  0.48152507E-05  0.37118694E-04
  0.35300000E+01  0.53306476E-05  0.37323170E-04
  0.35400000E+01  0.57372437E-05  0.37531900E-04
  0.35500000E+01  0.60291922E-05  0.37745818E-04
  0.35600000E+01  0.62100979E-05  0.37965900E-04
  0.35700000E+01  0.62887203E-05  0.38192741E-04
  0.35800000E+01  0.62753942E-05  0.38426352E-04
  0.35900000E+01  0.61795848E-05  0.38666155E-04
  0.36000000E+01  0.60086109E-05  0.38911097E-04
  0.36100000E+01  0.57673316E-05  0.39159825E-04
  0.36200000E+01  0.54584937E-05  0.39410885E-04
  0.36300000E+01  0.50834445E-05  0.39662874E-04
  0.36400000E+01  0.46429723E-05  0.39914546E-04
  0.36500000E+01  0.41381153E-05  0.40164840E-04
  0.36600000E+01  0.35708405E-05  0.40412837E-04
  0.36700000E+01  0.29445477E-05  0.40657656E-04
  0.36800000E+01  0.22643825E-05  0.40898302E-04
  0.36900000E+01  0.15373610E-05  0.41133513E-04
  0.37000000E+01  0.77232001E-06  0.41361609E-04
  0.37100000E+01 -0.20289065E-07  0.41580397E-04
  0.37200000E+01 -0.82873766E-06  0.41787136E-04
  0.37300000E+01 -0.16404636E-05  0.41978571E-04
  0.37400000E+01 -0.24425913E-05  0.42151031E-04
  0.37500000E+01 -0.32224969E-05  0.42300554E-04
  0.37600000E+01 -0.39683864E-05  0.42422947E-04
  0.37700000E+01 -0.46698547E-05  0.42513640E-04
  0.37800000E+01 -0.53183924E-05  0.42567063E-04
  0.37900000E+01 -0.59078123E-05  0.42575025E-04
  0.38000000E+01 -0.64345693E-05  0.42523117E-04
  0.38100000E+01 -0.68981036E-05  0.42382928E-04
  0.38200000E+01 -0.73103334E-05  0.42094731E-04
  0.38300000E+01 -0.77777123E-05  0.41526323E-04
  0.38400000E+01 -0.80952139E-05  0.40387950E-04
  0.38500000E+01 -0.79109699E-05  0.38324385E-04
  0.38600000E+01 -0.86845107E-05  0.33534477E-04
  0.38700000E+01 -0.89015048E-05  0.21248258E-04
  0.38800000E+01 -0.29181369E-04 -0.14282955E-04
  0.38900000E+01 -0.34814742E-03 -0.13520099E-03
  0.39000000E+01  0.70080927E-03 -0.21873803E-03
  0.39100000E+01 -0.20151897E-03  0.46870909E-03
  0.39200000E+01 -0.40129399E-03  0.12612758E-03
  0.39300000E+01 -0.21014410E-04  0.42494002E-04
  0.39400000E+01 -0.10645530E-04  0.26101118E-04
  0.39500000E+01 -0.11048146E-04  0.23055143E-04
  0.39600000E+01 -0.11508184E-04  0.23123205E-04
  0.39700000E+01 -0.11995739E-04  0.23910488E-04
  0.39800000E+01 -0.12503068E-04  0.24763911E-04
  0.39900000E+01 -0.13017892E-04  0.25493124E-04
  0.40000000E+01 -0.13518005E-04  0.26046056E-04
  0.40100000E+01 -0.13979640E-04  0.26422462E-04
  0.40200000E+01 -0.14393399E-04  0.26643583E-04
  0.40300000E+01 -0.14758551E-04  0.26727886E-04
  0.40400000E+01 -0.15067741E-04  0.26696922E-04
  0.40500000E+01 -0.15309177E-04  0.26576272E-04
  0.40600000E+01 -0.15475005E-04  0.26392303E-04
  0.40700000E+01 -0.15562709E-04  0.26170121E-04
