  0.27200000E+01  0.22351190E+04  0.18609238E+04
  0.27300000E+01  0.22195991E+04  0.18606810E+04
  0.27400000E+01  0.22044068E+04  0.18603667E+04
  0.27500000E+01  0.21895519E+04  0.18599834E+04
  0.27600000E+01  0.21750448E+04  0.18595336E+04
  0.27700000E+01  0.21608967E+04  0.18590194E+04
  0.27800000E+01  0.21471193E+04  0.18584425E+04
  0.27900000E+01  0.21337249E+04  0.18578046E+04
  0.28000000E+01  0.21207267E+04  0.18571075E+04
  0.28100000E+01  0.21081382E+04  0.18563526E+04
  0.28200000E+01  0.20959733E+04  0.18555416E+04
  0.28300000E+01  0.20842462E+04  0.18546765E+04
  0.28400000E+01  0.20729710E+04  0.18537595E+04
  0.28500000E+01  0.20621619E+04  0.18527934E+04
  0.28600000E+01  0.20518325E+04  0.18517815E+04
  0.28700000E+01  0.20419957E+04  0.18507278E+04
  0.28800000E+01  0.20326633E+04  0.18496373E+04
  0.28900000E+01  0.20238458E+04  0.18485158E+04
  0.29000000E+01  0.20155520E+04  0.18473703E+04
  0.29100000E+01  0.20077885E+04  0.18462088E+04
  0.29200000E+01  0.20005598E+04  0.18450403E+04
  0.29300000E+01  0.19938673E+04  0.18438754E+04
  0.29400000E+01  0.19877096E+04  0.18427257E+04
  0.29500000E+01  0.19820818E+04  0.18416041E+04
  0.29600000E+01  0.19769751E+04  0.18405248E+04
  0.29700000E+01  0.19723766E+04  0.18395034E+04
  0.29800000E+01  0.19682689E+04  0.18385565E+04
  0.29900000E+01  0.19646302E+04  0.18377019E+04
  0.30000000E+01  0.19614342E+04  0.18369582E+04
  0.30100000E+01  0.19586509E+04  0.18363439E+04
  0.30200000E+01  0.19562470E+04  0.18358773E+04
  0.30300000E+01  0.19541868E+04  0.18355762E+04
  0.30400000E+01  0.19524320E+04  0.18354578E+04
  0.30500000E+01  0.19509424E+04  0.18355391E+04
  0.30600000E+01  0.19496760E+04  0.18358351E+04
  0.30700000E+01  0.19485890E+04  0.18363584E+04
  0.30800000E+01  0.19476370E+04  0.18371179E+04
  0.30900000E+01  0.19467755E+04  0.18381187E+04
  0.31000000E+01  0.19459616E+04  0.18393614E+04
  0.31100000E+01  0.19451549E+04  0.18408420E+04
  0.31200000E+01  0.19443193E+04  0.18425518E+04
  0.31300000E+01  0.19434244E+04  0.18444786E+04
  0.31400000E+01  0.19424469E+04  0.18466068E+04
  0.31500000E+01  0.19413726E+04  0.18489188E+04
  0.31600000E+01  0.19401971E+04  0.18513961E+04
  0.31700000E+01  0.19389278E+04  0.18540210E+04
  0.31800000E+01  0.19375840E+04  0.18567776E+04
  0.31900000E+01  0.19361977E+04  0.18596529E+04
